stat_id,game_id,player_id,team_id,minutes_played,points,rebounds_off,rebounds_def,assists,steals,blocks,turnovers,fouls,fgm,fga,fg3m,fg3a,ftm,fta,plus_minus,is_starter
4145,154,283,14,14.3,0,0,2,0,0,0,0,0,0,4,0,1,0,0,-12,t
4146,154,1019,14,43.6,32,2,10,4,3,5,4,4,13,25,0,3,6,8,-1,t
4147,154,2395,14,10.6,10,2,6,0,0,0,0,1,4,4,0,0,2,2,-9,t
4148,154,473,14,23.8,8,0,1,0,0,0,0,3,3,8,2,5,0,0,-21,t
4149,154,4836,14,41.0,17,0,12,14,3,0,7,3,5,15,0,2,7,10,-17,t
4150,154,1285,14,23.8,8,1,1,0,0,0,0,1,2,3,2,3,2,2,21,f
4151,154,3916,14,12.0,0,0,1,8,1,1,1,1,0,3,0,1,0,0,20,f
4152,154,118,14,36.5,29,0,3,1,1,1,0,2,9,13,7,10,4,5,13,f
4153,154,3759,14,27.0,8,0,1,1,1,0,0,5,3,6,0,3,2,2,3,f
4154,154,2074,14,15.2,4,3,6,1,1,1,3,2,1,2,0,0,2,6,3,f
4155,154,3159,14,17.2,10,0,0,1,1,0,0,1,4,8,2,4,0,0,15,f
4156,154,1171,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4157,155,60,17,32.8,25,0,2,3,0,0,0,1,8,13,5,9,4,4,18,t
4158,155,115,17,36.2,31,1,15,4,0,2,0,1,12,26,0,2,7,13,13,t
4159,155,3651,17,35.4,19,4,6,3,1,2,3,1,6,14,4,8,3,3,-4,t
4160,155,1991,17,32.4,8,2,2,1,0,0,2,2,3,6,1,3,1,1,16,t
4161,155,2024,17,31.2,8,0,7,6,2,2,2,3,4,14,0,3,0,0,9,t
4162,155,877,17,24.0,8,0,3,1,1,0,0,1,3,8,2,6,0,0,-1,f
4163,155,3411,17,22.2,11,5,3,1,1,0,1,1,4,4,3,3,0,0,4,f
4164,155,3879,17,11.1,0,0,1,1,0,0,0,0,0,4,0,3,0,0,-12,f
4165,155,3375,17,14.7,8,0,1,1,0,0,0,0,4,6,0,2,0,0,2,f
4166,155,117,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4167,155,2048,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4168,155,2417,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4169,155,2544,23,45.0,5,1,4,5,0,0,0,1,2,18,1,12,0,0,-11,t
4170,155,3772,23,23.5,6,2,4,0,3,2,1,3,3,7,0,1,0,0,-7,t
4171,155,1194,23,33.1,17,7,13,3,1,2,3,3,8,13,0,0,1,2,-12,t
4172,155,3117,23,41.6,20,0,4,6,0,0,1,3,7,16,1,4,5,5,-13,t
4173,155,2904,23,39.0,31,1,4,4,1,1,0,2,12,24,4,9,3,3,-8,t
4174,155,1694,23,28.6,9,1,2,2,0,0,1,2,3,9,3,9,0,0,7,f
4175,155,3326,23,24.4,21,1,1,1,2,0,1,6,7,14,5,7,2,2,-5,f
4176,155,260,23,4.8,0,0,1,0,0,2,0,0,0,2,0,1,0,0,4,f
4177,155,985,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4178,155,1945,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4179,155,4312,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4180,156,3666,25,32.1,23,1,2,3,1,0,0,2,8,13,5,6,2,4,7,t
4181,156,928,25,38.9,6,0,5,6,1,1,2,2,2,8,1,6,1,1,-5,t
4182,156,3372,25,26.8,15,1,12,6,1,0,2,3,6,9,1,1,2,2,6,t
4183,156,2951,25,33.7,13,1,2,3,1,1,2,2,6,15,0,2,1,2,-6,t
4184,156,2707,25,38.9,27,1,4,6,0,0,2,0,11,23,4,13,1,1,-5,t
4185,156,4162,25,23.4,5,0,0,2,0,0,0,0,2,7,1,3,0,0,-5,f
4186,156,5106,25,13.2,8,3,5,1,0,0,1,2,3,6,0,1,2,2,-12,f
4187,156,2711,25,15.9,4,0,2,1,2,2,0,3,2,3,0,1,0,0,-15,f
4188,156,3277,25,9.1,5,2,2,1,0,1,0,0,2,6,1,3,0,0,-3,f
4189,156,4275,25,8.0,3,0,0,0,0,0,0,1,1,1,1,1,0,0,-2,f
4190,156,587,25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4191,156,1282,25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4192,156,3013,25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4193,156,4268,25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4194,156,1573,13,32.8,24,1,8,7,1,0,3,5,10,24,3,7,1,2,9,t
4195,156,274,13,28.8,22,0,6,1,1,0,0,2,7,9,6,8,2,3,6,t
4196,156,5123,13,24.1,11,2,5,0,0,0,0,2,4,5,0,0,3,4,-1,t
4197,156,387,13,31.4,11,0,5,6,2,0,0,2,3,7,2,4,3,4,-2,t
4198,156,2183,13,35.0,23,0,2,6,1,0,2,1,10,20,3,5,0,0,13,t
4199,156,2828,13,32.7,7,0,5,1,0,0,0,1,2,5,1,3,2,2,6,f
4200,156,2133,13,5.5,0,0,3,0,0,0,0,0,0,2,0,1,0,0,9,f
4201,156,2453,13,26.5,3,0,0,1,0,0,0,0,1,4,1,2,0,0,6,f
4202,156,1882,13,17.4,14,2,0,3,0,0,1,4,6,7,0,0,2,4,1,f
4203,156,5022,13,5.0,2,0,4,0,0,0,2,0,1,2,0,0,0,0,-3,f
4204,156,443,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,f
4205,156,837,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,f
4206,157,1996,1,22.1,0,1,3,3,0,1,0,4,0,2,0,1,0,0,0,t
4207,157,857,1,35.2,7,1,3,2,0,0,1,4,3,11,1,2,0,0,0,t
4208,157,694,1,34.5,13,2,10,2,2,2,0,4,5,8,0,0,3,7,-6,t
4209,157,2092,1,39.2,28,0,3,3,0,2,2,2,11,18,6,9,0,0,-20,t
4210,157,5101,1,35.2,27,0,0,6,1,0,6,2,10,21,5,11,2,2,-15,t
4211,157,3765,1,30.5,16,1,2,1,1,0,2,0,6,12,4,6,0,0,-11,f
4212,157,5065,1,10.9,0,0,0,3,0,0,0,0,0,4,0,2,0,0,6,f
4213,157,1128,1,10.7,0,1,2,1,1,0,0,1,0,2,0,1,0,0,-4,f
4214,157,1516,1,6.7,3,0,1,0,0,0,0,1,1,2,1,1,0,0,-9,f
4215,157,4951,1,9.7,4,0,1,1,1,0,0,0,1,3,1,1,1,1,2,f
4216,157,2772,1,5.2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,-3,f
4217,157,405,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4218,157,2114,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4219,157,404,29,30.9,18,0,1,1,0,0,2,0,5,13,2,5,6,6,11,t
4220,157,3394,29,32.5,11,0,5,4,0,0,0,3,4,7,1,4,2,2,18,t
4221,157,1621,29,24.5,9,3,11,0,2,2,2,5,4,8,0,0,1,4,1,t
4222,157,3132,29,32.4,27,1,2,5,3,0,1,2,11,20,5,11,0,0,15,t
