history_id,player_id,team_id,season_id,start_date,end_date,contract_type
2218,2295,3,3,2023-10-24,,Standard
2219,2295,3,4,2024-10-22,,Standard
2220,3673,13,2,2022-10-18,,Standard
2221,3673,29,3,2023-10-24,,Standard
2222,1267,3,1,2021-10-19,,Standard
2223,1267,3,2,2022-10-18,,Standard
2224,1267,26,2,2022-10-18,,Standard
2225,1267,26,3,2023-10-24,,Standard
2226,1267,7,4,2024-10-22,,Standard
2227,2506,30,1,2021-10-19,,Standard
2228,2506,30,2,2022-10-18,,Standard
2229,2506,30,3,2023-10-24,,Standard
2230,2506,30,4,2024-10-22,,Standard
2231,2506,30,5,2025-10-21,,Standard
2232,2506,1,5,2025-10-21,,Standard
2233,3131,26,1,2021-10-19,,Standard
2234,3131,26,2,2022-10-18,,Standard
2235,3131,26,3,2023-10-24,,Standard
2236,3131,28,4,2024-10-22,,Standard
2237,3131,16,4,2024-10-22,,Standard
2238,3131,16,5,2025-10-21,,Standard
2239,3759,14,1,2021-10-19,,Standard
2240,3759,14,2,2022-10-18,,Standard
2241,3759,14,3,2023-10-24,,Standard
2242,3759,14,4,2024-10-22,,Standard
2243,3759,14,5,2025-10-21,,Standard
2244,4473,3,1,2021-10-19,,Standard
2245,4473,3,2,2022-10-18,,Standard
2246,4473,3,3,2023-10-24,,Standard
2247,4473,3,4,2024-10-22,,Standard
2248,4473,3,5,2025-10-21,,Standard
2249,4473,17,5,2025-10-21,,Standard
2250,1208,3,1,2021-10-19,,Standard
2251,1208,3,2,2022-10-18,,Standard
2252,1208,27,3,2023-10-24,,Standard
2253,1208,27,4,2024-10-22,,Standard
2254,2124,15,3,2023-10-24,,Standard
2255,3683,27,1,2021-10-19,,Standard
2256,3683,27,2,2022-10-18,,Standard
2257,3683,13,3,2023-10-24,,Standard
2258,1686,3,2,2022-10-18,,Standard
2259,1686,27,3,2023-10-24,,Standard
2260,233,28,1,2021-10-19,,Standard
2261,233,28,2,2022-10-18,,Standard
2262,233,28,3,2023-10-24,,Standard
2263,233,28,4,2024-10-22,,Standard
2264,233,28,5,2025-10-21,,Standard
2265,1554,9,1,2021-10-19,,Standard
2266,1554,18,2,2022-10-18,,Standard
2267,1554,18,3,2023-10-24,,Standard
2268,1554,18,4,2024-10-22,,Standard
2269,1554,2,5,2025-10-21,,Standard
2270,4779,25,1,2021-10-19,,Standard
2271,4779,25,2,2022-10-18,,Standard
2272,4779,3,3,2023-10-24,,Standard
2273,4779,3,4,2024-10-22,,Standard
2274,4779,23,5,2025-10-21,,Standard
2275,2822,17,1,2021-10-19,,Standard
2276,2822,17,2,2022-10-18,,Standard
2277,2822,27,2,2022-10-18,,Standard
2278,2822,27,3,2023-10-24,,Standard
2279,2822,27,4,2024-10-22,,Standard
2280,2822,28,5,2025-10-21,,Standard
2281,1895,2,1,2021-10-19,,Standard
2282,1895,2,2,2022-10-18,,Standard
2283,1895,2,3,2023-10-24,,Standard
2284,1895,2,4,2024-10-22,,Standard
2285,1895,2,5,2025-10-21,,Standard
2286,2102,20,4,2024-10-22,,Standard
2287,2102,20,5,2025-10-21,,Standard
2288,2700,4,1,2021-10-19,,Standard
2289,765,23,2,2022-10-18,,Standard
2290,765,27,2,2022-10-18,,Standard
2291,765,27,3,2023-10-24,,Standard
2292,765,27,4,2024-10-22,,Standard
2293,765,27,5,2025-10-21,,Standard
2294,4087,11,1,2021-10-19,,Standard
2295,4087,11,2,2022-10-18,,Standard
2296,4087,11,3,2023-10-24,,Standard
2297,4087,11,4,2024-10-22,,Standard
2298,4087,11,5,2025-10-21,,Standard
2299,4174,20,1,2021-10-19,,Standard
2300,4174,20,2,2022-10-18,,Standard
2301,4174,20,3,2023-10-24,,Standard
2302,4174,20,4,2024-10-22,,Standard
2303,4174,17,4,2024-10-22,,Standard
2304,4174,17,5,2025-10-21,,Standard
2305,4880,27,1,2021-10-19,,Standard
2306,4880,28,2,2022-10-18,,Standard
2307,1590,21,1,2021-10-19,,Standard
2308,1590,21,2,2022-10-18,,Standard
2309,1590,21,3,2023-10-24,,Standard
2310,1590,5,4,2024-10-22,,Standard
2311,1590,5,5,2025-10-21,,Standard
2312,3636,15,1,2021-10-19,,Standard
2313,42,15,1,2021-10-19,,Standard
2314,42,15,2,2022-10-18,,Standard
2315,42,15,3,2023-10-24,,Standard
2316,42,15,4,2024-10-22,,Standard
2317,42,15,5,2025-10-21,,Standard
2318,1546,16,1,2021-10-19,,Standard
2319,1546,4,4,2024-10-22,,Standard
2320,1552,11,1,2021-10-19,,Standard
2321,1552,11,2,2022-10-18,,Standard
2322,1552,10,3,2023-10-24,,Standard
2323,2713,9,1,2021-10-19,,Standard
2324,2713,9,2,2022-10-18,,Standard
2325,2713,9,3,2023-10-24,,Standard
2326,2713,24,5,2025-10-21,,Standard
2327,5073,13,1,2021-10-19,,Standard
2328,5073,7,1,2021-10-19,,Standard
2329,3613,14,2,2022-10-18,,Standard
2330,3613,15,3,2023-10-24,,Standard
2331,3613,15,4,2024-10-22,,Standard
2332,3613,15,5,2025-10-21,,Standard
2333,4386,22,1,2021-10-19,,Standard
2334,4386,22,2,2022-10-18,,Standard
2335,4386,22,3,2023-10-24,,Standard
2336,4386,22,4,2024-10-22,,Standard
2337,4386,22,5,2025-10-21,,Standard
2338,5003,3,3,2023-10-24,,Standard
2339,5003,3,4,2024-10-22,,Standard
2340,5003,3,5,2025-10-21,,Standard
2341,5075,18,1,2021-10-19,,Standard
2342,5075,7,2,2022-10-18,,Standard
2343,971,9,1,2021-10-19,,Standard
2344,971,9,2,2022-10-18,,Standard
2345,971,9,3,2023-10-24,,Standard
2346,971,9,4,2024-10-22,,Standard
2347,971,9,5,2025-10-21,,Standard
2348,3144,6,1,2021-10-19,,Standard
2349,3144,6,2,2022-10-18,,Standard
2350,3144,6,3,2023-10-24,,Standard
2351,3144,6,4,2024-10-22,,Standard
2352,3144,6,5,2025-10-21,,Standard
2353,4881,21,1,2021-10-19,,Standard
2354,4881,21,2,2022-10-18,,Standard
2355,4881,21,3,2023-10-24,,Standard
2356,4881,21,4,2024-10-22,,Standard
2357,4881,21,5,2025-10-21,,Standard
2358,3145,6,2,2022-10-18,,Standard
2359,3145,6,3,2023-10-24,,Standard
2360,3145,23,4,2024-10-22,,Standard
2361,589,14,1,2021-10-19,,Standard
2362,589,1,1,2021-10-19,,Standard
2363,2704,19,3,2023-10-24,,Standard
2364,2704,5,4,2024-10-22,,Standard
2365,2704,3,5,2025-10-21,,Standard
2366,4203,17,1,2021-10-19,,Standard
2367,4203,16,1,2021-10-19,,Standard
2368,4203,23,3,2023-10-24,,Standard
2369,2217,12,1,2021-10-19,,Standard
2370,2217,15,3,2023-10-24,,Standard
2371,2217,15,5,2025-10-21,,Standard
2372,4003,10,3,2023-10-24,,Standard
2373,4003,10,4,2024-10-22,,Standard
2374,4003,10,5,2025-10-21,,Standard
2375,3308,6,1,2021-10-19,,Standard
2376,4774,12,1,2021-10-19,,Standard
2377,4774,24,2,2022-10-18,,Standard
2378,735,28,3,2023-10-24,,Standard
2379,735,28,4,2024-10-22,,Standard
2380,805,7,5,2025-10-21,,Standard
2381,1070,11,2,2022-10-18,,Standard
2382,1126,19,5,2025-10-21,,Standard
2383,962,19,3,2023-10-24,,Standard
2384,1328,3,4,2024-10-22,,Standard
2385,1328,3,5,2025-10-21,,Standard
2386,2110,20,1,2021-10-19,,Standard
2387,215,28,1,2021-10-19,,Standard
2388,215,28,2,2022-10-18,,Standard
2389,215,2,3,2023-10-24,,Standard
2390,215,25,3,2023-10-24,,Standard
2391,215,25,4,2024-10-22,,Standard
2392,215,13,5,2025-10-21,,Standard
2393,215,2,5,2025-10-21,,Standard
2394,78,19,1,2021-10-19,,Standard
2395,78,19,2,2022-10-18,,Standard
2396,78,19,3,2023-10-24,,Standard
2397,78,19,4,2024-10-22,,Standard
2398,78,19,5,2025-10-21,,Standard
2399,78,20,5,2025-10-21,,Standard
2400,2336,7,1,2021-10-19,,Standard
2401,2336,8,1,2021-10-19,,Standard
2402,2336,5,2,2022-10-18,,Standard
2403,2639,18,2,2022-10-18,,Standard
2404,2639,7,2,2022-10-18,,Standard
2405,2639,7,3,2023-10-24,,Standard
2406,2639,28,4,2024-10-22,,Standard
2407,2639,28,5,2025-10-21,,Standard
2408,180,25,3,2023-10-24,,Standard
2409,2094,14,1,2021-10-19,,Standard
2410,2094,30,2,2022-10-18,,Standard
2411,2094,8,3,2023-10-24,,Standard
2412,2094,15,4,2024-10-22,,Standard
2413,2094,12,5,2025-10-21,,Standard
2414,2950,5,1,2021-10-19,,Standard
2415,2950,14,1,2021-10-19,,Standard
2416,2950,23,2,2022-10-18,,Standard
2417,2950,22,4,2024-10-22,,Standard
2418,2950,12,5,2025-10-21,,Standard
2419,2950,5,5,2025-10-21,,Standard
2420,3441,7,1,2021-10-19,,Standard
2421,3441,21,2,2022-10-18,,Standard
2422,3441,9,2,2022-10-18,,Standard
2423,3441,30,3,2023-10-24,,Standard
2424,4027,30,1,2021-10-19,,Standard
2425,4027,30,2,2022-10-18,,Standard
2426,4623,9,2,2022-10-18,,Standard
2427,4623,9,3,2023-10-24,,Standard
2428,4623,17,4,2024-10-22,,Standard
2429,4623,27,5,2025-10-21,,Standard
2430,743,14,3,2023-10-24,,Standard
2431,743,15,4,2024-10-22,,Standard
2432,743,23,4,2024-10-22,,Standard
2433,743,28,4,2024-10-22,,Standard
2434,743,22,5,2025-10-21,,Standard
2435,4440,12,1,2021-10-19,,Standard
2436,4440,12,2,2022-10-18,,Standard
2437,4440,5,2,2022-10-18,,Standard
2438,4440,5,3,2023-10-24,,Standard
2439,4440,26,4,2024-10-22,,Standard
2440,4503,12,5,2025-10-21,,Standard
2441,4698,24,1,2021-10-19,,Standard
2442,4698,24,2,2022-10-18,,Standard
2443,4698,25,3,2023-10-24,,Standard
2444,4698,24,3,2023-10-24,,Standard
2445,3600,9,1,2021-10-19,,Standard
2446,1636,30,1,2021-10-19,,Standard
2447,1636,30,2,2022-10-18,,Standard
2448,1636,24,3,2023-10-24,,Standard
2449,1636,15,3,2023-10-24,,Standard
2450,1636,14,4,2024-10-22,,Standard
2451,1636,24,5,2025-10-21,,Standard
2452,3658,9,1,2021-10-19,,Standard
2453,3658,29,2,2022-10-18,,Standard
2454,3658,29,3,2023-10-24,,Standard
2455,3658,29,4,2024-10-22,,Standard
