history_id,player_id,team_id,season_id,start_date,end_date,contract_type
1377,2148,3,3,2021-10-19,,Standard
1378,2148,3,4,2022-10-18,,Standard
1379,2148,7,4,2022-10-18,,Standard
1380,2148,7,5,2023-10-24,,Standard
1381,2149,22,1,2019-10-22,,Standard
1382,2149,22,4,2022-10-18,,Standard
1383,2149,22,5,2023-10-24,,Standard
1384,2153,9,4,2022-10-18,,Standard
1385,2153,9,5,2023-10-24,,Standard
1386,2155,22,1,2019-10-22,,Standard
1387,2155,7,2,2020-12-22,,Standard
1388,2155,19,2,2020-12-22,,Standard
1389,2155,1,3,2021-10-19,,Standard
1390,2163,19,1,2019-10-22,,Standard
1391,2163,9,2,2020-12-22,,Standard
1392,2163,9,3,2021-10-19,,Standard
1393,2163,29,4,2022-10-18,,Standard
1394,2164,15,5,2023-10-24,,Standard
1395,2166,12,3,2021-10-19,,Standard
1396,2166,12,4,2022-10-18,,Standard
1397,2166,12,5,2023-10-24,,Standard
1398,2170,15,1,2019-10-22,,Standard
1399,2170,9,2,2020-12-22,,Standard
1400,2170,9,3,2021-10-19,,Standard
1401,2170,26,3,2021-10-19,,Standard
1402,2171,7,1,2019-10-22,,Standard
1403,2171,21,2,2020-12-22,,Standard
1404,2171,17,2,2020-12-22,,Standard
1405,2171,2,3,2021-10-19,,Standard
1406,2171,24,3,2021-10-19,,Standard
1407,2171,2,4,2022-10-18,,Standard
1408,2171,18,5,2023-10-24,,Standard
1409,2180,30,4,2022-10-18,,Standard
1410,2180,12,5,2023-10-24,,Standard
1411,2183,9,1,2019-10-22,,Standard
1412,2183,13,1,2019-10-22,,Standard
1413,2183,13,2,2020-12-22,,Standard
1414,2183,13,3,2021-10-19,,Standard
1415,2183,13,4,2022-10-18,,Standard
1416,2183,8,4,2022-10-18,,Standard
1417,2183,8,5,2023-10-24,,Standard
1418,2189,17,5,2023-10-24,,Standard
1419,2190,15,1,2019-10-22,,Standard
1420,2190,15,2,2020-12-22,,Standard
1421,2190,15,3,2021-10-19,,Standard
1422,2190,15,4,2022-10-18,,Standard
1423,2190,15,5,2023-10-24,,Standard
1424,2191,10,5,2023-10-24,,Standard
1425,2205,14,1,2019-10-22,,Standard
1426,2205,14,2,2020-12-22,,Standard
1427,2205,14,3,2021-10-19,,Standard
1428,2205,14,4,2022-10-18,,Standard
1429,2205,14,5,2023-10-24,,Standard
1430,2207,3,2,2020-12-22,,Standard
1431,2214,16,5,2023-10-24,,Standard
1432,2217,12,3,2021-10-19,,Standard
1433,2217,15,5,2023-10-24,,Standard
1434,2225,22,1,2019-10-22,,Standard
1435,2229,26,1,2019-10-22,,Standard
1436,2229,26,2,2020-12-22,,Standard
1437,2229,11,2,2020-12-22,,Standard
1438,2229,15,3,2021-10-19,,Standard
1439,2229,20,5,2023-10-24,,Standard
1440,2231,30,5,2023-10-24,,Standard
1441,2231,15,5,2023-10-24,,Standard
1442,2241,24,1,2019-10-22,,Standard
1443,2241,21,2,2020-12-22,,Standard
1444,2241,21,3,2021-10-19,,Standard
