season_id,label,start_date,end_date,season_type
1,2019-20,2019-10-22,2020-10-11,Regular
2,2020-21,2020-12-22,2021-07-20,Regular
3,2021-22,2021-10-19,2022-06-16,Regular
4,2022-23,2022-10-18,2023-06-12,Regular
5,2023-24,2023-10-24,2024-06-17,Regular
